time,"(720, +oo]","(700, 720]","(680, 700]","(660, 680]","(640, 660]","(620, 640]","(600, 620]","(580, 600]",(0 580]
2024-05-06 12:58:44,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111,0.111
2024-05-06 12:58:44,0.104,0.104,0.104,0.104,0.104,0.171,0.104,0.104,0.104
2024-05-06 12:59:41,0.08,0.08,0.08,0.08,0.08,0.359,0.08,0.08,0.08
2024-05-06 13:00:02,0.065,0.065,0.065,0.065,0.065,0.48,0.065,0.065,0.065
2024-05-06 18:59:41,0.058,0.058,0.058,0.058,0.058,0.438,0.058,0.058,0.157
2024-05-06 19:00:15,0.042,0.042,0.042,0.042,0.042,0.32,0.042,0.312,0.115
2024-05-06 19:01:27,0.035,0.035,0.035,0.035,0.035,0.266,0.035,0.428,0.095
2024-05-06 19:03:04,0.035,0.035,0.035,0.035,0.035,0.276,0.035,0.422,0.094
2024-05-06 19:03:31,0.031,0.031,0.031,0.031,0.031,0.249,0.031,0.479,0.085
2024-05-06 19:04:25,0.053,0.053,0.053,0.053,0.053,0.425,0.053,0.111,0.145
2024-05-06 19:04:54,0.054,0.054,0.054,0.054,0.054,0.409,0.061,0.112,0.147
2024-05-06 19:05:29,0.054,0.054,0.054,0.054,0.061,0.407,0.061,0.111,0.146
2024-05-06 19:05:35,0.056,0.056,0.056,0.056,0.064,0.425,0.064,0.071,0.153
2024-05-06 19:06:52,0.044,0.044,0.044,0.044,0.05,0.337,0.05,0.056,0.329
2024-05-06 19:07:38,0.037,0.037,0.037,0.037,0.042,0.278,0.042,0.046,0.447
2024-05-06 19:14:04,0.059,0.059,0.059,0.059,0.067,0.46,0.067,0.074,0.097
2024-05-06 19:30:15,0.059,0.059,0.059,0.059,0.066,0.457,0.066,0.074,0.102
2024-05-06 19:31:32,0.058,0.058,0.058,0.058,0.066,0.456,0.066,0.077,0.101
2024-05-06 19:37:26,0.058,0.058,0.058,0.058,0.066,0.455,0.068,0.077,0.101
2024-05-06 22:20:28,0.058,0.058,0.058,0.058,0.067,0.454,0.068,0.077,0.101
2024-05-06 22:20:43,0.058,0.058,0.058,0.058,0.067,0.459,0.067,0.076,0.1
2024-05-07 12:47:24,0.055,0.055,0.055,0.055,0.064,0.438,0.111,0.073,0.095
2024-05-07 19:47:40,0.051,0.051,0.051,0.051,0.059,0.475,0.103,0.068,0.089
2024-05-07 19:50:26,0.055,0.055,0.055,0.055,0.064,0.438,0.111,0.073,0.095
2024-05-07 19:52:49,0.05,0.05,0.05,0.05,0.058,0.488,0.101,0.066,0.087
2024-05-07 19:53:25,0.055,0.055,0.055,0.055,0.064,0.438,0.111,0.073,0.095
2024-05-07 19:54:26,0.05,0.05,0.05,0.05,0.058,0.488,0.101,0.066,0.087
2024-05-08 08:44:10,0.055,0.055,0.055,0.055,0.064,0.437,0.111,0.073,0.095
2024-05-08 08:46:18,0.043,0.043,0.043,0.043,0.05,0.561,0.086,0.057,0.074
2024-05-08 11:42:35,0.037,0.037,0.037,0.037,0.043,0.621,0.075,0.049,0.064
2024-05-08 11:45:11,0.037,0.037,0.037,0.037,0.043,0.618,0.074,0.054,0.064
2024-05-08 12:00:58,0.029,0.029,0.029,0.029,0.034,0.697,0.059,0.043,0.051
2024-05-08 13:14:49,0.04,0.04,0.04,0.04,0.047,0.582,0.081,0.059,0.07
2024-05-08 14:15:19,0.037,0.037,0.037,0.037,0.042,0.571,0.122,0.054,0.064
2024-05-08 15:15:46,0.036,0.036,0.036,0.036,0.041,0.584,0.118,0.052,0.062
2024-05-08 16:59:29,0.034,0.034,0.034,0.034,0.039,0.608,0.112,0.049,0.058
2024-05-09 00:14:53,0.034,0.034,0.034,0.034,0.039,0.605,0.112,0.049,0.059
2024-05-09 00:17:32,0.034,0.034,0.034,0.034,0.039,0.606,0.112,0.049,0.059
2024-05-09 01:09:08,0.02,0.02,0.02,0.02,0.023,0.764,0.068,0.029,0.035
2024-05-09 08:00:29,0.02,0.02,0.02,0.02,0.023,0.761,0.069,0.03,0.035
2024-05-09 19:10:12,0.018,0.018,0.018,0.018,0.02,0.795,0.059,0.026,0.03
2024-05-09 19:12:39,0.017,0.017,0.017,0.017,0.02,0.799,0.058,0.025,0.03
2024-05-10 00:53:02,0.03,0.03,0.03,0.03,0.034,0.653,0.1,0.043,0.051
2024-05-10 11:11:24,0.029,0.029,0.029,0.029,0.033,0.638,0.123,0.042,0.05
2024-05-10 11:11:53,0.033,0.033,0.033,0.033,0.038,0.579,0.143,0.049,0.058
2024-05-10 11:48:32,0.032,0.032,0.032,0.068,0.037,0.558,0.138,0.047,0.056
2024-05-10 12:34:39,0.018,0.018,0.018,0.039,0.021,0.747,0.079,0.027,0.032
2024-05-10 12:45:01,0.015,0.015,0.015,0.23,0.017,0.598,0.063,0.022,0.026
2024-05-10 12:46:21,0.019,0.019,0.019,0.019,0.021,0.763,0.081,0.027,0.033
2024-05-10 13:29:17,0.019,0.019,0.019,0.019,0.021,0.762,0.081,0.027,0.033
2024-05-10 15:07:27,0.019,0.019,0.019,0.019,0.022,0.76,0.082,0.028,0.033
2024-05-10 15:11:25,0.017,0.017,0.017,0.017,0.019,0.786,0.073,0.025,0.029
2024-05-10 16:18:03,0.017,0.017,0.017,0.017,0.019,0.79,0.071,0.024,0.029
2024-05-10 16:19:38,0.017,0.017,0.017,0.017,0.019,0.789,0.072,0.024,0.029
2024-05-10 18:03:49,0.017,0.017,0.017,0.017,0.019,0.787,0.073,0.024,0.029
2024-05-10 22:27:59,0.013,0.013,0.013,0.013,0.015,0.833,0.057,0.019,0.023
2024-05-11 00:31:27,0.025,0.025,0.025,0.026,0.029,0.681,0.109,0.037,0.044
2024-05-11 13:59:24,0.025,0.025,0.025,0.025,0.028,0.685,0.108,0.036,0.043
2024-05-11 20:36:29,0.024,0.024,0.024,0.025,0.028,0.69,0.106,0.036,0.042
2024-05-12 19:39:11,0.021,0.156,0.021,0.022,0.024,0.597,0.092,0.031,0.037
2024-05-12 19:40:29,0.023,0.063,0.023,0.024,0.027,0.662,0.102,0.034,0.041
2024-05-12 19:41:51,0.024,0.024,0.024,0.025,0.028,0.69,0.106,0.036,0.042
